species,stressor,vuln,iucn_sid,src,map_f
acanthastrea rotundoflora,salinity,0.64344,133386,iucn,species_ranges/iucn_spp_mol_133386.csv
acanthastrea rotundoflora,sedimentation,0.35546,133386,iucn,species_ranges/iucn_spp_mol_133386.csv
acanthastrea rotundoflora,sea_level_rise,0.24218,133386,iucn,species_ranges/iucn_spp_mol_133386.csv
acanthastrea rotundoflora,sst_rise,0.73388,133386,iucn,species_ranges/iucn_spp_mol_133386.csv
acanthastrea rotundoflora,storm_disturbance,0.19322,133386,iucn,species_ranges/iucn_spp_mol_133386.csv
acanthastrea rotundoflora,uv_radiation,0.39105,133386,iucn,species_ranges/iucn_spp_mol_133386.csv
acanthastrea rotundoflora,wildlife_strike,0.12283,133386,iucn,species_ranges/iucn_spp_mol_133386.csv
acanthastrea subechinata,biomass_removal,0.73388,132929,iucn,species_ranges/iucn_spp_mol_132929.csv
acanthastrea subechinata,bycatch,0.3414,132929,iucn,species_ranges/iucn_spp_mol_132929.csv
acanthastrea subechinata,entanglement_macroplastic,0.09919,132929,iucn,species_ranges/iucn_spp_mol_132929.csv
acanthastrea subechinata,eutrophication_nutrient_pollution,0.60789,132929,iucn,species_ranges/iucn_spp_mol_132929.csv
acanthastrea subechinata,habitat_loss_degradation,0.39261,132929,iucn,species_ranges/iucn_spp_mol_132929.csv
acanthastrea subechinata,inorganic_pollution,0.49006,132929,iucn,species_ranges/iucn_spp_mol_132929.csv
acanthastrea subechinata,light_pollution,0.24218,132929,iucn,species_ranges/iucn_spp_mol_132929.csv
acanthastrea subechinata,marine_heat_waves,0.59431,132929,iucn,species_ranges/iucn_spp_mol_132929.csv
acanthastrea subechinata,ocean_acidification,0.48852,132929,iucn,species_ranges/iucn_spp_mol_132929.csv
acanthastrea subechinata,oceanographic,0.48436,132929,iucn,species_ranges/iucn_spp_mol_132929.csv
acanthastrea subechinata,organic_pollution,0.49014,132929,iucn,species_ranges/iucn_spp_mol_132929.csv
acanthastrea subechinata,plastic_pollution_microplastic,0.21499,132929,iucn,species_ranges/iucn_spp_mol_132929.csv
acanthastrea subechinata,poisons_toxins,0.45807,132929,iucn,species_ranges/iucn_spp_mol_132929.csv
acanthastrea subechinata,salinity,0.64344,132929,iucn,species_ranges/iucn_spp_mol_132929.csv
acanthastrea subechinata,sedimentation,0.35546,132929,iucn,species_ranges/iucn_spp_mol_132929.csv
acanthastrea subechinata,sea_level_rise,0.24218,132929,iucn,species_ranges/iucn_spp_mol_132929.csv
acanthastrea subechinata,sst_rise,0.73388,132929,iucn,species_ranges/iucn_spp_mol_132929.csv
